# Data from Clarivate Analytics' Web of Science, retrieved 29 October 2018,,,,,,,,,,,,,
# This file generated on 2018-11-22 14:30:09,,,,,,,,,,,,,,
item,id,year,title,AU,SO,DE,DOI,DOI link,Modeling,Version Control,Versioning,Testing,Publicly accessible code?,Publicly accessible data?
3587,WOS:000274788300036,2010,An Excel-based index (PestEX) for environmental mobility of pesticides in relation to water resources,"Jovanovic, N. Z.|Petersen, C.|Brebbia, CA|Jovanovic, N|Tiezzi, E","MANAGEMENT OF NATURAL RESOURCES, SUSTAINABLE DEVELOPMENT AND ECOLOGICAL HAZARDS II",environmental cost|environmental mobility|fuzzy logic|index|mitigation measures|non-point source pollution|pesticides|pollution abatement cost|water resources,10.2495/RAV090361,http://dx.doi.org/10.2495/RAV090361,,,,,,
2328,WOS:000276540000006,2010,Assessing the impact of the spatial arrangement of agricultural practices on pesticide runoff in small catchments: Combining hydrological modeling and supervised learning,"Wohlfahrt, J.|Colin, F.|Assaghir, Z.|Bockstaller, C.",ECOLOGICAL INDICATORS,spatial agricultural management|indicator|metamodel|connectivity|small catchment,10.1016/j.ecolind.2010.01.004,http://dx.doi.org/10.1016/j.ecolind.2010.01.004,,,,,,
1307,WOS:000281134400003,2010,Groundwater Modeling in Integrated Water Resources Management-Visions for 2020,"Refsgaard, Jens Christian|Hojberg, Anker Lajer|Moller, Ingelise|Hansen, Martin|Sondergaard, Verner",GROUND WATER,,10.1111/j.1745-6584.2009.00634.x,http://dx.doi.org/10.1111/j.1745-6584.2009.00634.x,,,,,,
4776,WOS:000282231300015,2010,"Decision criteria, data fusion and prediction calibration: a Bayesian approach","Krzysztofowicz, Roman",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,decision making|decision criteria|expected utility|estimation|uncertainty|distribution function|data fusion|prediction calibration|informativeness|bayesian approach,10.1080/02626667.2010.505894,http://dx.doi.org/10.1080/02626667.2010.505894,,,,,,
3834,WOS:000285856500012,2010,Application of GIS and remote sensing techniques in generation of land use scenarios for hydrological modeling,"Onate-Valdivieso, F.|Bosque Sendra, Joaquin",JOURNAL OF HYDROLOGY,land use change model|hydrological scenario|lcm|calibration of parameters|sensitivity analysis,10.1016/j.jhydrol.2010.10.033,http://dx.doi.org/10.1016/j.jhydrol.2010.10.033,,,,,,
236,WOS:000280981100003,2010,Geo-MHYDAS: A landscape discretization tool for distributed hydrological modeling of cultivated areas,"Lagacherie, P.|Rabotin, M.|Colin, F.|Moussa, R.|Voltz, M.",COMPUTERS & GEOSCIENCES,landscape|hydrology|discretization|topology|gis|cultivated catchment,10.1016/j.cageo.2009.12.005,http://dx.doi.org/10.1016/j.cageo.2009.12.005,,,,,,
235,WOS:000276161000001,2010,A flexible nonlinear modelling framework for nonstationary generalized extreme value analysis in hydroclimatology,"Cannon, Alex J.",HYDROLOGICAL PROCESSES,extreme value analysis|nonstationary|statistical modelling|neural network|nonlinear hydroclimatology,10.1002/hyp.7506,http://dx.doi.org/10.1002/hyp.7506,,,,,,
870,WOS:000281914700001,2010,Systeme Hydrologique Europeen (SHE): review and perspectives after 30 years development in distributed physically-based hydrological modelling,"Refsgaard, Jens Christian|Storm, Borge|Clausen, Thomas",HYDROLOGY RESEARCH,distributed hydrological model|history|mike she|physically-based|she|shetran,10.2166/nh.2010.009,http://dx.doi.org/10.2166/nh.2010.009,,,,,,
2320,WOS:000274347800027,2010,Accounting for Exhaust Gas Transport Dynamics in Instantaneous Emission Models via Smooth Transition Regression,"Kamarianakis, Yiannis|Gao, H. Oliver",ENVIRONMENTAL SCIENCE & TECHNOLOGY,,10.1021/es901913k,http://dx.doi.org/10.1021/es901913k,,,,,,
1294,WOS:000208444400001,2010,An international model validation exercise on radionuclide transfer and doses to freshwater biota,"Yankovich, T. L.|Batlle, J. Vives i|Vives-Lynch, S.|Beresford, N. A.|Barnett, C. L.|Beaugelin-Seiller, K.|Brown, J. E.|Cheng, J-J|Copplestone, D.|Heling, R.|Hosseini, A.|Howard, B. J.|Kamboj, S.|Kryshev, A. I.|Nedveckaite, T.|Smith, J. T.|Wood, M. D.",JOURNAL OF RADIOLOGICAL PROTECTION,,10.1088/0952-4746/30/2/S06,http://dx.doi.org/10.1088/0952-4746/30/2/S06,,,,,,
