# Data from Clarivate Analytics' Web of Science, retrieved 1 December 2018
# This file generated on 2018-12-04 16:02:46
item,AU,DE,SO,id,title,year
47,"Dezetter, A.|Fabre, J.|Ruelland, D.|Servat, E.|Daniell, TM|VanLanen, HAJ|Demuth, S|Laaha, G|Servat, E|Mahe, G|Boyer, JF|Paturel, JM|Dezetter, A|Ruelland, D",climatic datasets|interpolation|rainfall-runoff modelling|ebro basin|hydro-system modelling|selection method,HYDROLOGY IN A CHANGING WORLD: ENVIRONMENTAL AND HUMAN DIMENSIONS,WOS:000357968600057,Selecting an optimal climatic dataset for integrated modelling of the Ebro hydrosystem,2014
48,"Luetjen, Michael|Alla, Abderrahim Ait",,MATHEMATICAL PROBLEMS IN ENGINEERING,WOS:000333629200001,Risk-Optimized Design of Production Systems by Use of GRAMOSA,2014
49,"Urich, Christian|Rauch, Wolfgang",agent-based modelling|decision-support tools|integrated modelling|urban development|urban water management|water infrastructure,WATER SCIENCE AND TECHNOLOGY,WOS:000346388700017,Modelling the urban water cycle as an integrated part of the city: a review,2014
50,"Ala-aho, Pertti|Soulsby, Chris|Wang, Hailong|Tetzlaff, Doerthe",integrated modelling|streamflow generation|groundwater|catchment modelling|model calibration,JOURNAL OF HYDROLOGY,WOS:000398871100049,Integrated surface-subsurface model to investigate the role of groundwater in headwater catchment runoff generation: A minimalist approach to parameterisation,2017
51,"Xie, Hua|You, Liangzhi|Wielgosz, Benjamin|Ringler, Claudia",agricultural development|integrated assessment|environmental suitability|economic returns,AGRICULTURAL WATER MANAGEMENT,WOS:000328180000020,Estimating the potential for expanding smallholder irrigation in Sub-Saharan Africa,2014
52,"Engdahl, Nicholas B.|Maxwell, Reed M.",integrated modeling|residence time|age distributions|particle tracking,JOURNAL OF HYDROLOGY,WOS:000350920200013,Quantifying changes in age distributions and the hydrologic balance of a high-mountain watershed from climate induced variations in recharge,2015
53,"Liggett, Jessica E.|Partington, Daniel|Frei, Sven|Werner, Adrian D.|Simmons, Craig T.|Fleckenstein, Jan H.",solute transport|surface-subsurface coupling|integrated modelling|catchment modelling,JOURNAL OF HYDROLOGY,WOS:000364249500023,An exploration of coupled surface-subsurface solute transport in a fully integrated catchment model,2015
54,"Turolla, Andrea|Santoro, Domenico|de Bruyn, John R.|Crapulli, Ferdinando|Antonelli, Manuela",advanced oxidation processes|cfd simulation|degradation kinetics|henyey-greenstein function|scattering phase function|titanium dioxide,WATER RESEARCH,WOS:000367276500011,Nanoparticle scattering characterization and mechanistic modelling of UV-TiO2 photocatalytic reactors using computational fluid dynamics,2016
55,"Zope, P. E.|Eldho, T. I.|Jothiprakash, V.",urbanization|coastal urban catchment|land use-land cover change|flood plain modeling|flood hazard map,NATURAL HAZARDS,WOS:000345971600041,"Impacts of urbanization on flooding of a coastal urban catchment: a case study of Mumbai City, India",2015
56,"Andersson, Mikael|Kellomaki, Seppo|Gardiner, Barry|Blennow, Kristina",ecosystem service|cultural service|wind damage|life-style|climate change|forest,REGIONAL ENVIRONMENTAL CHANGE,WOS:000365082400002,Life-style services and yield from south-Swedish forests adaptively managed against the risk of wind damage: a simulation study,2015
57,"Ham, Jonghwa|Hong, Yoon-Seok Timothy",uncertainty analysis|integrated modelling system|river basin management measure|treatment wetland|monte carlo simulation|glue,IRRIGATION AND DRAINAGE,WOS:000386949600028,Integrated Modelling System with Uncertainty Analysis for Reservoir Water Quality Management in a Reclamation River Basin,2016
58,"Bucak, Tuba|Trolle, Dennis|Andersen, Hans Estrup|Thodsen, Hans|Erdogan, Seyda|Levi, Eti E.|Filiz, Nur|Jeppesen, Erik|Beklioglu, Meryem",epsilon-svr|climate change|water level|land use|drying out|outflow,SCIENCE OF THE TOTAL ENVIRONMENT,WOS:000394635300039,Future water availability in the largest freshwater Mediterranean lake is at great risk as evidenced from simulations with the SWAT model,2017
59,"Pivato, Alberto|Barausse, Alberto|Zecchinato, Francesco|Palmeri, Luca|Raga, Roberto|Lavagnolo, Maria Cristina|Cossu, Raffaello",pesticide drift|inhalation risk analysis|calpuff|fugacity model,ATMOSPHERIC ENVIRONMENT,WOS:000355026100014,An integrated model-based approach to the risk assessment of pesticide drift from vineyards,2015
60,"Bandilla, Karl W.|Guo, Bo|Celia, Michael A.|Dixon, T|Laloui, L|Twinning, S",geologic carbon storage|vertically-integrated modeling|vertical heterogeneity,"13TH INTERNATIONAL CONFERENCE ON GREENHOUSE GAS CONTROL TECHNOLOGIES, GHGT-13",WOS:000419147303048,Applicability of Vertically Integrated Models for Carbon Storage Modeling in Structured Heterogeneous Domains,2017
61,"Romero, Estela|Le Gendre, Romain|Garnier, Josette|Billen, Gilles|Fisson, Cedric|Silvestre, Marie|Riou, Philippe",seine river|water quality|nutrients|long-term trends|wfd|policy,ENVIRONMENTAL SCIENCE & POLICY,WOS:000370900400015,Long-term water quality in the lower Seine: Lessons learned over 4 decades of monitoring,2016
62,"Poustie, Michael S.|Deletic, Ana",developing countries|sustainable urban water management|simulation modeling|strategic infrastructure planning|scenario analysis,AMBIO,WOS:000344920200010,"Modeling integrated urban water systems in developing countries: case study of Port Vila, Vanuatu",2014
63,"Franklin, Janet|Regan, Helen M.|Syphard, Alexandra D.",biodiversity|population viability|population model|fire|california|species distribution model|rare plant species|urban growth model|land-use change|climate change,ENVIRONMENTAL CONSERVATION,WOS:000335415400002,Linking spatially explicit species distribution and population models to plan for the persistence of plant species under global change,2014
64,"Liggett, Jessica E.|Werner, Adrian D.|Smerdon, Brian D.|Partington, Daniel|Simmons, Craig T.",integrated modeling|solute transport|rainfall-runoff|dispersion|hydrograph separation,WATER RESOURCES RESEARCH,WOS:000344783800012,Fully integrated modeling of surface-subsurface solute transport and the effect of dispersion in tracer hydrograph separation,2014
65,"Wu, Qingru|Wang, Shuxiao|Wang, Long|Liu, Fang|Lin, Che-Jen|Zhang, Lei|Wang, Fengyang",hg emission|nonferrous metal smelters|soil contamination|integrated modeling,SCIENCE OF THE TOTAL ENVIRONMENT,WOS:000342245600072,Spatial distribution and accumulation of Hg in soil surrounding a Zn/Pb smelter,2014
66,"Pfannerstill, Matthias|Guse, Bjoern|Fohrer, Nicola",swat|groundwater modelling|multi-storage concept|low flows|lowland catchment,HYDROLOGICAL PROCESSES,WOS:000343862400009,A multi-storage groundwater concept for the SWAT model to emphasize nonlinear groundwater dynamics in lowland catchments,2014
67,"Trichakis, I.|Burek, P.|de Roo, A.|Pistocchi, A.",integrated modelling|lisflood|modflow|europe|large scale,ENVIRONMENTAL PROCESSES-AN INTERNATIONAL JOURNAL,WOS:000414369000007,Towards a Pan-European Integrated Groundwater and Surface Water Model: Development and Applications,2017
68,"Foster, T.|Brozovic, N.|Butler, A. P.",groundwater|policy|well yield|economic|agriculture|irrigation,WATER RESOURCES RESEARCH,WOS:000394911200044,Effects of initial aquifer conditions on economic benefits from groundwater conservation,2017
69,"Ren, Liliang|Yuan, Fei|Yong, Bin|Jiang, Shanhu|Yang, Xiaoli|Gong, Luyan|Ma, Mingwei|Liu, Yi|Shen, Hongren|Castellarin, A|Ceola, S|Toth, E|Montanari, A",runoff|evapotranspiration|blue water|green water|land use and cover changes|water balance,"EVOLVING WATER RESOURCES SYSTEMS: UNDERSTANDING, PREDICTING AND MANAGING WATER-SOCIETY INTERACTIONS",WOS:000357968700015,Where does blue water go in the semi-arid area of northern China under changing environments?,2014
70,"Tian, Yong|Zheng, Yi|Zheng, Chunmiao|Xiao, Honglang|Fan, Wenjie|Zou, Songbing|Wu, Bin|Yao, Yingying|Zhang, Aijing|Liu, Jie",,WATER RESOURCES RESEARCH,WOS:000358301200011,Exploring scale-dependent ecohydrological responses in a large endorheic river basin through integrated surface water-groundwater modeling,2015
71,"Milano, Marianne|Reynard, Emmanuel|Bosshard, Nina|Weingartner, Rolf",integrated modeling|water resources|water needs|climate change|anthropogenic changes|2060 horizon|water stress|vaud canton,HOUILLE BLANCHE-REVUE INTERNATIONALE DE L EAU,WOS:000387985900005,"In light of seasonal climatic and anthropogenic changes, is the Vaud canton (Switzerland) vulnerable to water stress by the medium-term?",2016
72,"Xu, Yan|Cai, Yanpeng|Sun, Tao|Tan, Qian",modeling framework|coastal reclamation|dpsir|indicators system|yellow river estuary,MARINE POLLUTION BULLETIN,WOS:000408076900015,"A multi-scale integrated modeling framework to measure comprehensive impact of coastal reclamation activities in Yellow River estuary, China",2017
73,"Wang, Sirui|Zhuang, Qianlai|Yu, Zicheng|Bridgham, Scott|Keller, Jason K.",,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,WOS:000385712400011,Quantifying peat carbon accumulation in Alaska using a process-based biogeochemistry model,2016
74,"Makropoulos, C.|Tsoukala, V.|Belibassakis, K.|Lykou, A.|Chondros, M.|Gourgoura, P.|Nikolopoulos, D.|Mynett, A",extreme hydro-meteorological events|flood risk|active stakeholder participation|rethymno,PROCEEDINGS OF THE 36TH IAHR WORLD CONGRESS,WOS:000398996206111,"MANAGING FLOOD RISK IN COASTAL CITIES THROUGH AN INTEGRATED MODELLING FRAMEWORK SUPPORTING STAKEHOLDERS' INVOLVEMENT: THE CASE OF RETHYMNO, CRETE",2015
75,"Eshtawi, Tamer|Evers, Mariele|Tischbein, Bernhard|Diekkrueger, Bernd",urban water system|groundwater deterioration|integrated modeling|sustainability|solute transport|non-conventional water resources,WATER RESEARCH,WOS:000381169400043,Integrated hydrologic modeling as a key for sustainable urban water resources planning,2016
76,"Li, Mingchao|Han, Yanqing|Wang, Gang|Yan, Fugen",,MATHEMATICAL PROBLEMS IN ENGINEERING,WOS:000339254500001,3D Multiscale Integrated Modeling Approach of Complex Rock Mass Structures,2014
77,"Santarosa, Lucas Vituri|Manzione, Rodrigo Lilla",data fusion|groundwater management|geostatistics|bauru aquifer system|groundwater recharge,RBRH-REVISTA BRASILEIRA DE RECURSOS HIDRICOS,WOS:000438515500023,Soil variables as auxiliary information in spatial prediction of shallow water table levels for estimating recovered water volume,2017
78,"Waters, D. K.|Jiao, F.|Chen, M. D.|Yang, J. D.|Pape, S.|Zhang, H. J.|Li, J.|Nash, D.|Hongqi, S|Xiangxin, L",water quality|catchment modelling|source,"PROCEEDINGS OF THE 5TH INTERNATIONAL YELLOW RIVER FORUM ON ENSURING WATER RIGHT OF THE RIVER'S DEMAND AND HEALTHY RIVER BASIN MAINTENANCE, VOL IV",WOS:000391414900054,"Nutrient Management in the Lake Tai Basin, China -Application of Source Water Quantity and Quality Model to Dongshan Peninsula",2015
79,"Goharian, Erfan|Burian, Steven J.|Bardsley, Tim|Strong, Courtenay",climate change impacts|hydrologic modeling|water system analysis|vulnerability,JOURNAL OF WATER RESOURCES PLANNING AND MANAGEMENT,WOS:000368828800009,Incorporating Potential Severity into Vulnerability Assessment of Water Supply Systems under Climate Change Conditions,2016
